item_id,name,category,brand,price,description
P00001,Microsoft 2-in-1 Laptop 1,electronics,Microsoft,1185.95,"Microsoft 2-in-1 Laptop with Intel i5, 16GB RAM, 1TB HDD storage, 13-inch display. Premium for work, gaming, and productivity."
P00002,Acer 2-in-1 Laptop 2,electronics,Acer,1419.19,"Acer 2-in-1 Laptop with Intel i5, 16GB RAM, 512GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00003,Lenovo Gaming Laptop 3,electronics,Lenovo,517.1,"Lenovo Gaming Laptop with Intel i7, 16GB RAM, 512GB SSD storage, 13-inch display. Sleek for work, gaming, and productivity."
P00004,Lenovo Ultrabook Laptop 4,electronics,Lenovo,556.55,"Lenovo Ultrabook Laptop with Intel i5, 32GB RAM, 256GB SSD storage, 13-inch display. Comfortable for work, gaming, and productivity."
P00005,Dell Ultrabook Laptop 5,electronics,Dell,1442.72,"Dell Ultrabook Laptop with Intel i5, 8GB RAM, 512GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00006,Microsoft 2-in-1 Laptop 6,electronics,Microsoft,1705.67,"Microsoft 2-in-1 Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 13-inch display. Durable for work, gaming, and productivity."
P00007,Acer Gaming Laptop 7,electronics,Acer,1885.87,"Acer Gaming Laptop with Intel i5, 8GB RAM, 512GB SSD storage, 15-inch display. Durable for work, gaming, and productivity."
P00008,Lenovo Gaming Laptop 8,electronics,Lenovo,966.18,"Lenovo Gaming Laptop with AMD Ryzen 7, 8GB RAM, 256GB SSD storage, 15-inch display. Premium for work, gaming, and productivity."
P00009,Dell 2-in-1 Laptop 9,electronics,Dell,1081.44,"Dell 2-in-1 Laptop with AMD Ryzen 5, 32GB RAM, 512GB SSD storage, 13-inch display. Stylish for work, gaming, and productivity."
P00010,Acer Ultrabook Laptop 10,electronics,Acer,1829.49,"Acer Ultrabook Laptop with AMD Ryzen 7, 8GB RAM, 256GB SSD storage, 15-inch display. Sleek for work, gaming, and productivity."
P00011,Microsoft Business Laptop 11,electronics,Microsoft,1947.19,"Microsoft Business Laptop with Intel i5, 32GB RAM, 512GB SSD storage, 17-inch display. Lightweight for work, gaming, and productivity."
P00012,Acer 2-in-1 Laptop 12,electronics,Acer,1904.6,"Acer 2-in-1 Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 13-inch display. Premium for work, gaming, and productivity."
P00013,Lenovo Business Laptop 13,electronics,Lenovo,1664.95,"Lenovo Business Laptop with Intel i7, 8GB RAM, 1TB HDD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00014,Acer Ultrabook Laptop 14,electronics,Acer,1446.65,"Acer Ultrabook Laptop with AMD Ryzen 5, 16GB RAM, 256GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00015,HP Gaming Laptop 15,electronics,HP,620.58,"HP Gaming Laptop with Intel i7, 32GB RAM, 1TB HDD storage, 15-inch display. Premium for work, gaming, and productivity."
P00016,Lenovo Business Laptop 16,electronics,Lenovo,588.55,"Lenovo Business Laptop with Intel i7, 32GB RAM, 256GB SSD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00017,Lenovo Gaming Laptop 17,electronics,Lenovo,637.45,"Lenovo Gaming Laptop with Intel i7, 32GB RAM, 1TB HDD storage, 13-inch display. Sleek for work, gaming, and productivity."
P00018,Asus Business Laptop 18,electronics,Asus,1152.23,"Asus Business Laptop with Intel i7, 16GB RAM, 1TB HDD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00019,Apple Gaming Laptop 19,electronics,Apple,1691.18,"Apple Gaming Laptop with Intel i7, 8GB RAM, 256GB SSD storage, 13-inch display. Durable for work, gaming, and productivity."
P00020,Acer Business Laptop 20,electronics,Acer,1566.1,"Acer Business Laptop with AMD Ryzen 5, 32GB RAM, 512GB SSD storage, 17-inch display. Lightweight for work, gaming, and productivity."
P00021,Microsoft Ultrabook Laptop 21,electronics,Microsoft,1089.18,"Microsoft Ultrabook Laptop with AMD Ryzen 7, 8GB RAM, 1TB HDD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00022,Asus Gaming Laptop 22,electronics,Asus,1271.51,"Asus Gaming Laptop with Intel i5, 8GB RAM, 1TB HDD storage, 17-inch display. Premium for work, gaming, and productivity."
P00023,Apple Gaming Laptop 23,electronics,Apple,809.04,"Apple Gaming Laptop with Intel i7, 32GB RAM, 512GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00024,Microsoft Business Laptop 24,electronics,Microsoft,1753.49,"Microsoft Business Laptop with Intel i7, 32GB RAM, 256GB SSD storage, 13-inch display. Stylish for work, gaming, and productivity."
P00025,Lenovo 2-in-1 Laptop 25,electronics,Lenovo,522.56,"Lenovo 2-in-1 Laptop with Intel i7, 16GB RAM, 1TB HDD storage, 15-inch display. Premium for work, gaming, and productivity."
P00026,Dell Gaming Laptop 26,electronics,Dell,1217.04,"Dell Gaming Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 13-inch display. Sleek for work, gaming, and productivity."
P00027,Acer Business Laptop 27,electronics,Acer,1737.71,"Acer Business Laptop with Intel i5, 16GB RAM, 1TB HDD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00028,Apple Business Laptop 28,electronics,Apple,1262.56,"Apple Business Laptop with Intel i7, 8GB RAM, 256GB SSD storage, 13-inch display. Premium for work, gaming, and productivity."
P00029,Dell Ultrabook Laptop 29,electronics,Dell,1196.36,"Dell Ultrabook Laptop with Intel i7, 32GB RAM, 256GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00030,Apple Gaming Laptop 30,electronics,Apple,1741.51,"Apple Gaming Laptop with AMD Ryzen 5, 16GB RAM, 512GB SSD storage, 13-inch display. Durable for work, gaming, and productivity."
P00031,HP Ultrabook Laptop 31,electronics,HP,862.18,"HP Ultrabook Laptop with AMD Ryzen 7, 8GB RAM, 256GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00032,Asus Business Laptop 32,electronics,Asus,1599.8,"Asus Business Laptop with AMD Ryzen 7, 32GB RAM, 256GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00033,HP Ultrabook Laptop 33,electronics,HP,1193.84,"HP Ultrabook Laptop with AMD Ryzen 5, 16GB RAM, 256GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00034,Apple Business Laptop 34,electronics,Apple,1902.95,"Apple Business Laptop with Intel i7, 32GB RAM, 512GB SSD storage, 17-inch display. Durable for work, gaming, and productivity."
P00035,Acer Ultrabook Laptop 35,electronics,Acer,1752.98,"Acer Ultrabook Laptop with Intel i5, 8GB RAM, 1TB HDD storage, 15-inch display. Premium for work, gaming, and productivity."
